#time,accel_x,accel_y,accel_z
155.437318,1628.453072,8882.471304,-75843.454302
155.439941,-444.123565,7846.182985,-75843.454302
155.442565,-2220.617826,8586.388927,-75843.454302
155.445188,-1628.453072,7698.141797,-76303.111601
155.447812,444.123565,8142.265362,-76762.768900
155.450435,740.205942,8290.306550,-76303.111601
155.453059,-888.247130,6513.812290,-76149.892501
155.455683,-2220.617826,8290.306550,-76303.111601
155.458306,-740.205942,8882.471304,-76303.111601
155.460930,592.164754,6661.853478,-76456.330700
155.463553,-1036.288319,7846.182985,-76456.330700
155.466177,740.205942,9030.512492,-76609.549800
155.468800,1924.535449,8290.306550,-77222.426198
155.471421,1924.535449,8142.265362,-75383.797003
155.474041,10214.842000,8734.430116,-76303.111601
155.476662,-148.041188,8734.430116,-76456.330700
155.479282,2960.823768,7846.182985,-75383.797003
155.481902,8142.265362,7698.141797,-76762.768900
155.484523,9918.759623,7254.018232,-76149.892501
155.487143,-5033.400406,8290.306550,-75383.797003
155.489763,5625.565159,9030.512492,-77222.426198
155.492384,2960.823768,6661.853478,-77682.083497
155.495004,-5033.400406,9030.512492,-75537.016103
155.497625,6809.894666,7254.018232,-75996.673402
155.500245,22058.137072,9326.594869,-77222.426198
155.502865,-10807.006753,9770.718434,-74924.139704
155.505486,6661.853478,7254.018232,-76149.892501
155.508106,2960.823768,11547.212695,-77835.302597
155.510727,-46336.891969,9326.594869,-72319.415011
155.513347,21465.972318,3256.906145,-78907.836294
155.515967,-10955.047942,8290.306550,-76609.549800
155.518588,-14359.995275,10955.047942,-73851.606007
155.521208,2220.617826,6809.894666,-76303.111601
155.523829,4589.276840,8290.306550,-76456.330700
155.526449,-5921.647536,7846.182985,-77682.083497
155.529069,-10214.842000,7698.141797,-75077.358804
155.531690,-296.082377,7105.977043,-75383.797003
155.534310,-3701.029710,9918.759623,-77222.426198
155.536931,2368.659014,7105.977043,-78754.617194
155.539551,-444.123565,8882.471304,-75996.673402
155.542171,-10066.800811,10510.924376,-73391.948708
155.544792,-5033.400406,6957.935855,-77375.645298
155.547412,-10510.924376,7105.977043,-75996.673402
155.550033,-2220.617826,9178.553681,-76303.111601
155.552653,888.247130,8586.388927,-74617.701505
155.555273,4293.194464,6957.935855,-77988.521696
155.557894,740.205942,8438.347739,-75690.235202
155.560514,-9918.759623,9030.512492,-74924.139704
155.563135,-13767.830521,7254.018232,-76149.892501
155.565755,2220.617826,5181.441594,-77528.864398
155.568375,-2072.576638,9918.759623,-75690.235202
155.570996,-13027.624579,10066.800811,-74770.920605
155.573616,9326.594869,6069.688724,-78294.959896
155.576231,-21465.972318,10066.800811,-73698.386908
155.578847,16432.571912,6069.688724,-77222.426198
155.581462,12731.542202,6069.688724,-77835.302597
155.584077,-40415.244433,14804.118840,-71246.881314
155.586693,-9622.677246,4885.359217,-78448.178995
155.589308,23390.507767,6069.688724,-78754.617194
155.591923,-14952.160028,11399.171507,-74770.920605
155.594539,17320.819043,9474.636058,-71706.538613
155.597154,19245.354492,6069.688724,-79980.369991
155.599769,20725.766376,10362.883188,-76915.987999
155.602385,-31236.690752,8882.471304,-72779.072310
155.605000,10066.800811,8586.388927,-76609.549800
155.607615,32717.102636,3108.864956,-79827.150892
155.610231,-27831.743419,10955.047942,-71400.100414
155.612846,-4737.318029,12435.459826,-74311.263306
155.615461,18949.272115,3701.029710,-79673.931792
155.618077,-24426.796086,10658.965565,-72779.072310
155.620692,6957.935855,9326.594869,-75996.673402
155.623307,18653.189738,4441.235652,-77069.207099
155.625923,-3108.864956,9030.512492,-76762.768900
155.628538,-11843.295072,9622.677246,-75383.797003
155.631153,10362.883188,5921.647536,-78141.740796
155.633769,-2960.823768,9030.512492,-76303.111601
155.636384,1924.535449,7994.224174,-74770.920605
155.638999,7105.977043,5921.647536,-78141.740796
155.641614,-2220.617826,9770.718434,-75537.016103
155.644230,9918.759623,7698.141797,-76149.892501
155.646845,5181.441594,5921.647536,-77069.207099
155.649460,-3256.906145,9178.553681,-75537.016103
155.652076,2220.617826,7846.182985,-77528.864398
155.654691,1776.494261,7105.977043,-76149.892501
155.657306,2516.700203,7698.141797,-77222.426198
155.659922,2072.576638,8438.347739,-75230.577904
155.662537,2960.823768,6661.853478,-77528.864398
155.665152,11103.089130,8586.388927,-75996.673402
155.667768,-2664.741391,7254.018232,-75537.016103
155.670383,11547.212695,9326.594869,-78294.959896
155.672998,3256.906145,6513.812290,-77988.521696
155.675614,-11251.130318,9474.636058,-72779.072310
155.678229,18061.024985,9622.677246,-77528.864398
155.680836,-3404.947333,6661.853478,-75537.016103
155.683443,-3997.112087,4145.153275,-76303.111601
155.686050,47965.345042,13175.665768,-78141.740796
155.688657,-36862.255912,9770.718434,-72166.195912
155.691264,3997.112087,8438.347739,-76762.768900
155.693870,21465.972318,6217.729913,-78754.617194
155.696477,-49001.633360,10214.842000,-76762.768900
155.699084,-38046.585419,9622.677246,-72319.415011
155.701691,30644.525999,3404.947333,-80440.027290
155.704298,7846.182985,10066.800811,-77069.207099
155.706905,-21317.931130,13175.665768,-72625.853210
155.709512,888.247130,1924.535449,-76762.768900
155.712119,24278.754898,6217.729913,-79980.369991
155.714726,-37750.503042,16432.571912,-72779.072310
155.717333,3108.864956,5329.482782,-75383.797003
155.719940,18801.230927,6957.935855,-78294.959896
155.722547,-15692.365970,9622.677246,-77528.864398
155.725153,-17764.942608,7994.224174,-74924.139704
155.727760,5773.606348,6365.771101,-77682.083497
155.730367,6513.812290,6809.894666,-77222.426198
155.732974,-8734.430116,9030.512492,-75996.673402
155.735581,-7402.059420,9918.759623,-75383.797003
155.738188,296.082377,6809.894666,-76915.987999
155.740795,-1036.288319,6365.771101,-76303.111601
155.743402,-3108.864956,8586.388927,-74770.920605
155.746009,-2516.700203,8290.306550,-75843.454302
155.748616,-10658.965565,7698.141797,-75537.016103
155.751223,-4293.194464,7846.182985,-77528.864398
155.753830,2368.659014,6957.935855,-75843.454302
155.756436,-3997.112087,7698.141797,-76149.892501
155.759043,-2664.741391,9030.512492,-75843.454302
155.761650,-11251.130318,7550.100608,-77682.083497
155.764257,-3701.029710,7550.100608,-75843.454302
155.766864,3997.112087,9030.512492,-75996.673402
155.769471,-6069.688724,7994.224174,-76149.892501
155.772078,-14063.912898,7698.141797,-76762.768900
155.774685,-21762.054695,13471.748144,-72472.634111
155.777292,18061.024985,5921.647536,-77682.083497
155.779899,7402.059420,5773.606348,-77988.521696
155.782506,-30644.525999,14804.118840,-71400.100414
155.785106,-8142.265362,5181.441594,-78907.836294
155.787707,20429.683999,3256.906145,-80286.808190
155.790308,-20281.642811,11843.295072,-73698.386908
155.792909,-14211.954086,9770.718434,-71246.881314
155.795510,21910.095883,3552.988522,-80746.465489
155.798111,20873.807564,10362.883188,-77222.426198
155.800711,-5477.523971,12139.377449,-74464.482406
155.803312,-26795.455100,11843.295072,-72625.853210
155.805913,39675.038491,-1480.411884,-80593.246390
155.808514,1924.535449,10955.047942,-76915.987999
155.811115,-31236.690752,12731.542202,-70940.443115
155.813715,28719.990550,3108.864956,-79673.931792
155.816316,-7846.182985,10510.924376,-74924.139704
155.818917,6957.935855,9178.553681,-75690.235202
155.821518,13323.706956,6069.688724,-76149.892501
155.824119,2220.617826,7698.141797,-76456.330700
155.826720,-4589.276840,10807.006753,-77222.426198
155.829320,-4589.276840,6957.935855,-75383.797003
155.831921,3849.070898,7105.977043,-76149.892501
155.834522,296.082377,9770.718434,-75077.358804
155.837123,7698.141797,6513.812290,-77988.521696
155.839724,-2960.823768,7550.100608,-75230.577904
155.842325,15100.201217,9030.512492,-76456.330700
155.844925,5329.482782,6957.935855,-76762.768900
155.847526,-11991.336260,8438.347739,-75843.454302
155.850127,-888.247130,7698.141797,-76149.892501
155.852728,8734.430116,7254.018232,-76456.330700
155.855329,-1480.411884,8586.388927,-75230.577904
155.857929,15840.407159,8438.347739,-75843.454302
155.860530,15840.407159,6513.812290,-77069.207099
155.863131,-6217.729913,10214.842000,-75843.454302
155.865732,-20725.766376,8290.306550,-75537.016103
155.868333,16432.571912,4589.276840,-78907.836294
155.870934,-14952.160028,8586.388927,-75230.577904
155.873534,11399.171507,7254.018232,-75537.016103
155.876135,42783.903448,5033.400406,-78907.836294
155.878736,-14063.912898,15692.365970,-75996.673402
155.881337,-16580.613101,7402.059420,-74158.044206
155.883938,13767.830521,296.082377,-79827.150892
155.886538,-6809.894666,11103.089130,-74617.701505
155.889135,-40859.367998,5329.482782,-74311.263306
155.891731,40267.203245,7105.977043,-79214.274493
155.894327,-16580.613101,9326.594869,-76609.549800
155.896923,-26203.290347,13323.706956,-73085.510509
155.899519,18949.272115,888.247130,-77222.426198
155.902115,32272.979071,2368.659014,-77835.302597
155.904711,-33013.185013,15988.448347,-72779.072310
155.907308,-30940.608376,7846.182985,-75077.358804
155.909904,31976.896694,-592.164754,-81665.780087
155.912500,-18653.189738,11547.212695,-74464.482406
155.915096,-14508.036463,11103.089130,-73238.729609
155.917692,21910.095883,2072.576638,-80286.808190
155.920288,-16580.613101,11991.336260,-75843.454302
155.922885,-11843.295072,8438.347739,-74617.701505
155.925481,5625.565159,6365.771101,-74924.139704
155.928077,5773.606348,6957.935855,-77835.302597
155.930673,-8142.265362,8882.471304,-75843.454302
155.933269,-6069.688724,8882.471304,-74770.920605
155.935865,2516.700203,6661.853478,-77375.645298
155.938461,4441.235652,7846.182985,-77069.207099
155.941058,-10066.800811,7550.100608,-76762.768900
155.943654,-8882.471304,10510.924376,-75537.016103
155.946250,-4293.194464,7846.182985,-77222.426198
155.948846,-5181.441594,6957.935855,-75230.577904
155.951442,-1924.535449,7994.224174,-76609.549800
155.954038,-4145.153275,8734.430116,-75230.577904
155.956634,7105.977043,6365.771101,-77988.521696
155.959231,-12583.501014,9474.636058,-76456.330700
155.961827,-18209.066173,8882.471304,-74924.139704
155.964423,-2812.782580,5625.565159,-76762.768900
155.967019,19097.313304,5773.606348,-78907.836294
155.969615,-16728.654289,13175.665768,-74004.825107
155.972211,-14359.995275,7254.018232,-74617.701505
155.974808,8290.306550,4441.235652,-80286.808190
155.977404,24426.796086,5921.647536,-78907.836294
155.980000,-21169.889941,11695.253884,-74924.139704
155.982596,8586.388927,6365.771101,-75230.577904
155.985192,24722.878463,5921.647536,-80286.808190
155.987788,-13027.624579,14211.954086,-74004.825107
155.990384,-16580.613101,6661.853478,-72779.072310
155.992974,46781.015534,4293.194464,-79980.369991
155.995564,-13175.665768,11991.336260,-76303.111601
155.998154,-35825.967593,9178.553681,-71093.662214
156.000744,37750.503042,3701.029710,-75537.016103
156.003334,19245.354492,3108.864956,-81206.122788
156.005924,-22946.384202,12435.459826,-72779.072310
156.008514,22058.137072,6513.812290,-76149.892501
156.011104,16284.530724,7105.977043,-77528.864398
156.013694,-2516.700203,9622.677246,-76609.549800
156.016284,-7698.141797,9178.553681,-74158.044206
156.018874,8586.388927,6809.894666,-77682.083497
156.021464,2664.741391,6957.935855,-77682.083497
156.024054,-14211.954086,9326.594869,-73698.386908
156.026644,5477.523971,7846.182985,-74770.920605
156.029234,16580.613101,7698.141797,-78141.740796
156.031824,5625.565159,7846.182985,-76303.111601
156.034414,-888.247130,8142.265362,-75843.454302
156.037004,6957.935855,9326.594869,-75690.235202
156.039594,-5033.400406,8438.347739,-76762.768900
156.042184,-1480.411884,7402.059420,-75383.797003
156.044774,10510.924376,7402.059420,-75690.235202
156.047364,15396.283594,6957.935855,-76762.768900
156.049954,5625.565159,8882.471304,-77222.426198
156.052544,-15692.365970,9030.512492,-76609.549800
156.055134,6365.771101,7698.141797,-75843.454302
156.057724,-7402.059420,8438.347739,-75537.016103
156.060314,7698.141797,3997.112087,-78448.178995
156.062904,36270.091158,9178.553681,-77988.521696
156.065494,-42043.697506,12435.459826,-73238.729609
156.068084,19541.436869,2960.823768,-78907.836294
156.070674,5477.523971,5329.482782,-80133.589091
156.073264,-21317.931130,14211.954086,-71400.100414
156.075853,-5773.606348,2368.659014,-74311.263306
156.078443,44708.438897,7402.059420,-78907.836294
156.081033,-15988.448347,11695.253884,-75383.797003
156.083623,-31236.690752,11251.130318,-72625.853210
156.086213,23094.425390,1628.453072,-80133.589091
156.088803,15396.283594,6957.935855,-77222.426198
156.091393,-50778.127621,11399.171507,-70480.785816
156.093983,16432.571912,3552.988522,-79673.931792
156.096480,7254.018232,5329.482782,-80899.684589
156.098976,-31088.649564,13915.871710,-71246.881314
156.101472,19541.436869,10214.842000,-73698.386908
156.103969,24426.796086,3404.947333,-80440.027290
156.106465,-22798.343014,11991.336260,-74464.482406
156.108962,-11399.171507,7846.182985,-75843.454302
156.111458,7550.100608,5181.441594,-77682.083497
156.113954,-1184.329507,7846.182985,-76609.549800
156.116451,-10066.800811,8882.471304,-75690.235202
156.118947,4145.153275,9474.636058,-76609.549800
156.121444,-6513.812290,7105.977043,-75996.673402
156.123940,0.000000,7698.141797,-75537.016103
156.126436,148.041188,6809.894666,-76762.768900
156.128933,-9622.677246,9770.718434,-76915.987999
