#time,accel_x,accel_y,accel_z
300.079719,-592.164754,7846.182985,-76149.892501
300.082309,-148.041188,8882.471304,-76456.330700
300.084900,-148.041188,8586.388927,-75383.797003
300.087490,0.000000,7994.224174,-75996.673402
300.090081,-296.082377,8290.306550,-75690.235202
300.092672,-740.205942,7105.977043,-76762.768900
300.095262,-296.082377,7550.100608,-76149.892501
300.097853,-592.164754,9770.718434,-75537.016103
300.100444,-1184.329507,7105.977043,-76149.892501
300.103034,-1184.329507,6069.688724,-77528.864398
300.105625,-592.164754,8586.388927,-76609.549800
300.108215,148.041188,9178.553681,-75690.235202
300.110781,-296.082377,7105.977043,-75537.016103
300.113347,0.000000,8142.265362,-76456.330700
300.115912,-592.164754,7994.224174,-76609.549800
300.118478,-740.205942,7550.100608,-75843.454302
300.121043,-444.123565,8586.388927,-75383.797003
300.123609,148.041188,8586.388927,-76303.111601
300.126174,-444.123565,6661.853478,-75996.673402
300.128740,-592.164754,7550.100608,-76149.892501
300.131306,-1184.329507,8882.471304,-75996.673402
300.133871,-296.082377,7846.182985,-76149.892501
300.136437,-296.082377,6809.894666,-77222.426198
300.139002,-888.247130,9622.677246,-75537.016103
300.141568,148.041188,8438.347739,-76303.111601
300.144133,-740.205942,6809.894666,-76609.549800
300.146699,-148.041188,7550.100608,-76149.892501
300.149265,-148.041188,8734.430116,-76456.330700
300.151830,0.000000,8142.265362,-75996.673402
300.154396,0.000000,8438.347739,-75996.673402
300.156961,148.041188,7994.224174,-76303.111601
300.159527,-592.164754,7105.977043,-76762.768900
300.162092,-296.082377,7698.141797,-76609.549800
300.164658,148.041188,8290.306550,-76609.549800
300.167224,0.000000,7105.977043,-75383.797003
300.169789,-592.164754,3404.947333,-77528.864398
300.172355,-296.082377,4441.235652,-77222.426198
300.174920,148.041188,5033.400406,-76609.549800
300.177486,444.123565,4293.194464,-76303.111601
300.180051,3108.864956,1480.411884,-77835.302597
300.182617,2516.700203,1036.288319,-77222.426198
300.185183,-3552.988522,3997.112087,-74617.701505
300.187748,-7550.100608,3552.988522,-76915.987999
300.190314,7550.100608,1036.288319,-78601.398095
300.192879,2368.659014,10807.006753,-76149.892501
300.195445,-10807.006753,11695.253884,-75996.673402
300.198011,19097.313304,2960.823768,-77988.521696
300.200576,-11547.212695,16136.489536,-75077.358804
300.203142,-20133.601622,15396.283594,-74770.920605
300.205707,22354.219448,6661.853478,-79827.150892
300.208273,-20133.601622,8438.347739,-75996.673402
300.210838,6217.729913,8586.388927,-76149.892501
300.213389,13471.748144,13175.665768,-75996.673402
300.215940,-6513.812290,12287.418637,-74770.920605
300.218491,-7846.182985,9622.677246,-76762.768900
300.221042,-740.205942,9622.677246,-75383.797003
300.223593,148.041188,11251.130318,-73085.510509
300.226144,-1480.411884,8586.388927,-77069.207099
300.228695,1184.329507,8438.347739,-79061.055394
300.231246,-1776.494261,12879.583391,-75077.358804
